Metric,age_or_height,sex,Match ID,m,s,l,2.5th,5th,25th,50th,75th,95th,97.5th
whz,68.7,Female,68.7_2,7.533269942,0.099270229,-0.075395842,6.210096377,6.404757889,7.046569423,7.533269942,8.056309178,8.878455634,9.164492253
whz,68.8,Female,68.8_2,7.556137091,0.09917272,-0.075657139,6.230150557,6.42523935,7.068425836,7.556137091,8.080234622,8.90399155,9.190574476
whz,68.9,Female,68.9_2,7.579021134,0.099075666,-0.075918436,6.250220591,6.445736802,7.090298729,7.579021134,8.104177445,8.929545696,9.216675251
whz,69,Female,69_2,7.60191786,0.09897906,-0.076179734,6.270303047,6.466246698,7.112184181,7.60191786,8.128133124,8.955113057,9.242789389
whz,69.1,Female,69.1_2,7.624823055,0.098882895,-0.076441031,6.29039449,6.486765491,7.134078264,7.624823055,8.152097136,8.980688616,9.268911703
whz,69.2,Female,69.2_2,7.647732508,0.098787164,-0.076702329,6.310491484,6.507289631,7.155977054,7.647732508,8.17606496,9.006267364,9.295037012
whz,69.3,Female,69.3_2,7.670642006,0.098691861,-0.076963626,6.330590579,6.527815556,7.177876621,7.670642006,8.200032078,9.031844305,9.321160151
whz,69.4,Female,69.4_2,7.693547338,0.098596978,-0.077224924,6.35068835,6.548339726,7.199773042,7.693547338,8.223993966,9.057414415,9.347275926
whz,69.5,Female,69.5_2,7.716444292,0.098502509,-0.077486222,6.370781344,6.568858577,7.221662386,7.716444292,8.247946111,9.082972706,9.373379179
whz,69.6,Female,69.6_2,7.739328655,0.098408446,-0.07774752,6.39086613,6.589368564,7.24354073,7.739328655,8.271883986,9.108514155,9.399464716
whz,69.7,Female,69.7_2,7.762196216,0.098314784,-0.078008818,6.410939241,6.60986611,7.265404137,7.762196216,8.295803085,9.134033793,9.425527404
whz,69.8,Female,69.8_2,7.785042762,0.098221515,-0.078270116,6.430997243,6.630347669,7.28724868,7.785042762,8.319698885,9.159526602,9.451562054
whz,69.9,Female,69.9_2,7.807864081,0.098128633,-0.078531414,6.451036678,6.65080967,7.309070428,7.807864081,8.343566873,9.184987598,9.477563517
whz,70,Female,70_2,7.830655962,0.09803613,-0.078792713,6.471054111,6.671248567,7.330865454,7.830655962,8.36740253,9.210411771,9.503526611
whz,70.1,Female,70.1_2,7.853414191,0.097944001,-0.079054011,6.491046065,6.691660773,7.352629817,7.853414191,8.391201347,9.235794152,9.529446207
whz,70.2,Female,70.2_2,7.876134558,0.097852238,-0.07931531,6.511009105,6.712042741,7.374359593,7.876134558,8.414958807,9.261129735,9.555317128
whz,70.3,Female,70.3_2,7.89881285,0.097760835,-0.079576609,6.530939765,6.732390893,7.396050844,7.89881285,8.438670401,9.286413543,9.581134233
whz,70.4,Female,70.4_2,7.921444854,0.097669785,-0.079837908,6.550834591,6.752701666,7.417699637,7.921444854,8.462331611,9.311640582,9.606892363
whz,70.5,Female,70.5_2,7.94402636,0.097579082,-0.080099207,6.570690115,6.772971484,7.439302037,7.94402636,8.485937935,9.336805882,9.632586385
whz,70.6,Female,70.6_2,7.966553154,0.09748872,-0.080360507,6.590502869,6.793196767,7.460854103,7.966553154,8.509484862,9.361904469,9.658211162
whz,70.7,Female,70.7_2,7.989021026,0.097398691,-0.080621807,6.610269409,6.81337396,7.482351908,7.989021026,8.532967876,9.386931344,9.683761527
whz,70.8,Female,70.8_2,8.011425761,0.097308989,-0.080883107,6.62998626,6.83349948,7.503791511,8.011425761,8.55638247,9.411881534,9.709232344
whz,70.9,Female,70.9_2,8.033763149,0.097219608,-0.081144407,6.649649952,6.853569747,7.525168974,8.033763149,8.579724139,9.436750075,9.734618489
whz,71,Female,71_2,8.056028978,0.097130541,-0.081405708,6.669257022,6.87358119,7.546480361,8.056028978,8.602988373,9.461531985,9.759914816
whz,71.1,Female,71.1_2,8.078219035,0.097041782,-0.081667008,6.688803995,6.893530223,7.567721731,8.078219035,8.626170668,9.486222298,9.785116199
